Tool Name,Primary Function,Data Sources,Target User/Client,Environment Type,Description,TNFD Link
Planetary Boundaries,Conceptual framework,"Earth system processes, safe operating space","Researchers, policy makers",Multiple,Framework including biodiversity integrity as key planetary boundary,https://tnfd.global/tools-platforms/planetary-boundaries/
PLUM Model,Modeling,"Land use change, agricultural production","Policy makers, researchers",Terrestrial,Projects land use change impacts on biodiversity from agricultural policies,https://tnfd.global/tools-platforms/plum-model/
PREDICTs,Modeling,"Land use intensity, biodiversity metrics","Researchers, policy makers",Multiple,Models relationship between human pressures and biodiversity outcomes,https://tnfd.global/tools-platforms/predicts/
Product Biodiversity Footprint,Footprinting,"Product life cycle data, species impacts",Product manufacturers,Multiple,Assesses biodiversity impacts of products throughout their life cycle,https://tnfd.global/tools-platforms/product-biodiversity-footprint/
Protected Planet,Database,"Protected area data, coverage statistics",Conservation planners,Multiple,Global database on protected areas important for biodiversity conservation,https://tnfd.global/tools-platforms/protected-planet/
RAWES,Rapid assessment,Wetland ecosystem services,Wetland managers,Freshwater,Rapidly assesses wetland ecosystem services including biodiversity,https://tnfd.global/tools-platforms/rawes/
RIBITS,Offset tracking,"Mitigation banking data, credit transactions","Regulators, developers",Multiple,Tracks biodiversity offset credits and transactions,https://tnfd.global/tools-platforms/ribits/
SASB,Reporting framework,Industry-specific sustainability metrics,Businesses,Multiple,Sustainability accounting standards including biodiversity metrics,https://tnfd.global/tools-platforms/sasb/
SBTN,Target setting,Science-based environmental targets,Businesses,Multiple,Framework for setting corporate targets for nature including biodiversity,https://tnfd.global/tools-platforms/sbtn/
Scenario Analysis for Biodiversity Impact,Scenario planning,"Business activities, future biodiversity trends",Corporate strategists,Multiple,Assesses potential future biodiversity impacts under different scenarios,https://tnfd.global/tools-platforms/scenario-analysis-for-biodiversity-impact/
SDG 15 Life on Land Indicators,Monitoring,"Policy implementation, ecosystem extent",Governments,Multiple,Official indicators for tracking progress on biodiversity-related SDGs,https://tnfd.global/tools-platforms/sdg-15-life-on-land-indicators/
SENCE,Impact assessment,"Ecosystem services, land use change",Land use planners,Multiple,Maps ecosystem service provision and biodiversity under different land use scenarios,https://tnfd.global/tools-platforms/sence/
South African National Biodiversity Assessment,Status assessment,"Ecosystem threat status, protection level",Conservation planners,Multiple,National framework for assessing biodiversity status and protection,https://tnfd.global/tools-platforms/south-african-national-biodiversity-assessment/
SPOTT,Benchmarking,"Corporate transparency, policy implementation","Investors, buyers",Multiple,Assesses companies in forest-risk sectors on biodiversity management,https://tnfd.global/tools-platforms/spott/
STAR,Impact assessment,"Species threat abatement, restoration potential","Businesses, conservation planners",Multiple,Measures potential contribution to reducing species extinction risk,https://tnfd.global/tools-platforms/star/
Strategic Biodiversity Assessment,Strategic planning,"Species distribution, ecosystem services",Regional planners,Multiple,Identifies biodiversity priorities at regional planning scale,https://tnfd.global/tools-platforms/strategic-biodiversity-assessment/
Sustainable Asset Valuation,Valuation,"Natural capital assets, ecosystem services",Infrastructure developers,Multiple,Values biodiversity and ecosystem services in infrastructure projects,https://tnfd.global/tools-platforms/sustainable-asset-valuation/
Sustainable Catchment Management Planning,Planning,"Watershed services, habitat quality",Water utilities,Freshwater,Plans watershed management for biodiversity and water quality benefits,https://tnfd.global/tools-platforms/sustainable-catchment-management-planning/
Sustainable Landscape Rating Tool,Rating,"Landscape governance, conservation measures",Landscape initiatives,Multiple,Assesses governance and conservation effectiveness at landscape scale,https://tnfd.global/tools-platforms/sustainable-landscape-rating-tool/
Swedish Species Observation System,Monitoring,"Species occurrence, citizen science","Researchers, conservation managers",Multiple,Collects biodiversity data through citizen science for assessment,https://tnfd.global/tools-platforms/swedish-species-observation-system/
System of Environmental Economic Accounting,Accounting,"Ecosystem extent, condition, services",Governments,Multiple,UN standard for ecosystem accounting including biodiversity,https://tnfd.global/tools-platforms/system-of-environmental-economic-accounting/
Task Force on Nature-related Financial Disclosures,Reporting framework,Nature-related risks and opportunities,"Businesses, financial institutions",Multiple,Framework for reporting on nature-related risks including biodiversity,https://tnfd.global/tools-platforms/task-force-on-nature-related-financial-disclosures/
TCNC,Footprinting,"Biodiversity impact drivers, corporate activities",Businesses,Multiple,Corporate biodiversity footprinting methodology,https://tnfd.global/tools-platforms/tcnc/
Tech4Nature,Monitoring,"Protected area effectiveness, technologically-derived indicators",Protected area managers,Multiple,Uses technology to monitor biodiversity in protected areas,https://tnfd.global/tools-platforms/tech4nature/
TESEO,Risk assessment,"Business operations, biodiversity sensitivity",Businesses,Multiple,Assesses business risks related to biodiversity loss,https://tnfd.global/tools-platforms/teseo/
TESSA,Rapid assessment,"Ecosystem services, site-level assessment",Site managers,Multiple,Rapid assessment of site-level ecosystem services including biodiversity,https://tnfd.global/tools-platforms/tessa/
The Conservation Framework,Planning,"Conservation targets, threat reduction",Conservation practitioners,Multiple,Framework for planning and measuring conservation outcomes for biodiversity,https://tnfd.global/tools-platforms/the-conservation-framework/
The GRI Biodiversity Indicators,Reporting,"Operational impacts, management responses",Businesses,Multiple,Standardized indicators for corporate biodiversity reporting,https://tnfd.global/tools-platforms/the-gri-biodiversity-indicators/
The Natural Capital Protocol,Framework,Business dependencies and impacts,Businesses,Multiple,Framework for business assessment of impacts and dependencies on natural capital,https://tnfd.global/tools-platforms/the-natural-capital-protocol/
The Sustainalytics Biodiversity Indicators,Rating,Corporate biodiversity management,Investors,Multiple,Rates companies on biodiversity management for ESG analysis,https://tnfd.global/tools-platforms/the-sustainalytics-biodiversity-indicators/
TRACKS,Monitoring,Protected area effectiveness,Protected area managers,Multiple,Monitors management effectiveness of protected areas for biodiversity,https://tnfd.global/tools-platforms/tracks/
UN Habitat SDG Tool,Monitoring,Urban biodiversity indicators,City planners,Urban,Tracks biodiversity elements of sustainable development in urban areas,https://tnfd.global/tools-platforms/un-habitat-sdg-tool/
UNEP-WCMC Biodiversity Indicators,Monitoring,National biodiversity metrics,Governments,Multiple,Suite of indicators for tracking national biodiversity status and trends,https://tnfd.global/tools-platforms/unep-wcmc-biodiversity-indicators/
UNEP-WCMC Corporate Biodiversity Data,Data provision,Corporate biodiversity reporting,Businesses,Multiple,Platform for standardized corporate biodiversity data,https://tnfd.global/tools-platforms/unep-wcmc-corporate-biodiversity-data/
United Nations Biodiversity Lab,Data provision,Spatial biodiversity data,Policy makers,Multiple,Provides spatial data for biodiversity assessment and planning,https://tnfd.global/tools-platforms/united-nations-biodiversity-lab/
Urban Biodiversity Hub,Benchmarking,"Urban biodiversity practices, metrics",City governments,Urban,Benchmarks city performance on urban biodiversity management,https://tnfd.global/tools-platforms/urban-biodiversity-hub/
Valuing Corporate Environmental Impacts PwC,Valuation,"Environmental impacts, monetary values",Businesses,Multiple,Methodology for monetary valuation of biodiversity impacts,https://tnfd.global/tools-platforms/valuing-corporate-environmental-impacts-pwc/
WBCSD Circular Transition Indicators,Assessment,Circular economy performance,Businesses,Multiple,Measures circularity performance including biodiversity resource efficiency,https://tnfd.global/tools-platforms/wbcsd-circular-transition-indicators/
WDI,Reporting framework,Corporate workforce disclosure,Investors,Multiple,Corporate disclosure framework including biodiversity management questions,https://tnfd.global/tools-platforms/wdi/
WILDLABS,Monitoring,Technology applications for conservation,Conservation practitioners,Multiple,Community platform for technology-based biodiversity monitoring solutions,https://tnfd.global/tools-platforms/wildlabs/
Wolf Ridge Environmental Learning Center tool,Education,"Ecosystem processes, educational modules",Educators,Multiple,Educational tool for biodiversity assessment and understanding,https://tnfd.global/tools-platforms/wolf-ridge-environmental-learning-center-tool/
WWF SIGHT,Risk assessment,"Spatial biodiversity data, business locations",Businesses,Multiple,Screens business assets against biodiversity and environmental risks,https://tnfd.global/tools-platforms/wwf-sight/
WWF Water Risk Filter,Risk assessment,"Water-related risks, watershed data",Businesses,Freshwater,Assesses water-related risks including freshwater biodiversity,https://tnfd.global/tools-platforms/wwf-water-risk-filter/
